,Title,Year,Metacritic,Internet Movie Database,Rotten Tomatoes,IMDB Votes
370,Planet 51,2009,0.39,0.6,0.22,48862.0
371,Planeta Bur,1962,,0.65,,926.0
372,Planet of the Vampires,1965,,0.63,0.73,4886.0
373,The Pod People,1983,,0.27,,660.0
374,Power Rangers,2017,0.44,0.5900000000000001,0.5,98489.0
375,Predator,1987,0.45,0.78,0.81,359191.0
376,Predator 2,1990,0.46,0.63,0.29,141278.0
377,Predators,2010,0.51,0.64,0.65,206270.0
378,Princess of Mars,2009,,0.31,,1490.0
379,Progeny,1999,,0.49000000000000005,,1378.0
380,Project ALF,1996,,0.55,,2274.0
381,Prometheus,2012,0.64,0.7,0.73,554320.0
382,The Puppet Masters,1994,,0.5900000000000001,0.26,8053.0
383,Quatermass 2,1957,,0.6900000000000001,0.78,3206.0
384,Quatermass and the Pit,1967,,0.7,0.86,8847.0
385,Queen of Blood,1966,,0.52,0.17,1499.0
386,Queen of Outer Space,1958,,0.47000000000000003,0.17,1798.0
387,Race to Witch Mountain,2009,0.52,0.5700000000000001,0.42,53816.0
388,Ratchet & Clank,2016,0.29,0.5599999999999999,0.21,9470.0
389,Real Men,1987,,0.62,,3565.0
390,The Recall,2017,,0.43,0.0,6543.0
391,Red Planet,2000,0.34,0.5700000000000001,0.14,53890.0
392,Repo Man,1984,0.75,0.6900000000000001,0.98,32233.0
393,Returner,2002,0.36,0.64,0.36,10851.0
394,Return from Witch Mountain,1978,0.51,0.5900000000000001,0.5,4201.0
395,Robinson Crusoe on Mars,1964,,0.65,0.94,5732.0
396,Robot Monster,1953,,0.3,0.36,4218.0
397,Rocketship X-M,1950,,0.49000000000000005,,2004.0
398,The Rocky Horror Picture Show,1975,0.58,0.74,0.79,127186.0
399,The Rocky Horror Picture Show: Let's Do the Time Warp Again,2016,,0.42000000000000004,0.28,6561.0
400,Rogue One: A Star Wars Story,2016,0.65,0.78,0.84,526836.0
401,Santa Claus Conquers the Martians,1964,,0.27,0.23,10575.0
402,Scary Movie 3,2003,0.49,0.55,0.35,133576.0
